epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.11939530074596405,0.11359697878360749,0.005798324209172279,155.7480438232422,102.79200744628906,108.38971710205078,50.22445297241211,98.47435760498047,3.8977260408732e-05
2,0.0879686800763011,0.07923065293580293,0.008738027699291707,126.83750267028809,90.0000228881836,95.02165222167969,71.26123046875,84.27835845947266,0.00010980108914658706
3,0.03402895219624043,0.030945145385339858,0.003083807081566192,97.6325756072998,70.23956298828125,71.68092346191406,41.90544891357422,70.09032440185547,0.00019793491856072426
4,0.008010714501142501,0.00689891391666606,0.001111800569924526,58.04177398681641,45.246559143066406,40.89857482910156,13.194561004638672,53.34064865112305,0.0002703563977216445
5,0.004315366910304874,0.003474146529333666,0.0008412204100750386,42.84295921325683,43.39787673950195,41.481449127197266,45.938720703125,45.88134002685547,0.00029993034465004625
6,0.003365701576694846,0.0025582315400242807,0.0008074700250290334,37.29710874557495,44.71369934082031,41.78886413574219,42.082298278808594,48.92729949951172,0.00029530716888096783
7,0.003466374275740236,0.002775488840416074,0.0006908854164066724,38.471732234954835,40.194583892822266,36.4503059387207,14.931770324707031,47.01271438598633,0.00028055884845135017
8,0.0025934647943358867,0.0019343991385539993,0.000659065660147462,32.601625728607175,42.10321044921875,39.591644287109375,30.507156372070312,46.32868957519531,0.00025676390901855137
9,0.0023388010216876865,0.0016784914128948002,0.0006603095964237582,30.7390193939209,41.85869216918945,37.53601837158203,22.977737426757812,49.06114959716797,0.00022557114530680908
10,0.001936620514607057,0.0013284685788676142,0.0006081519524741453,27.356543445587157,40.127830505371094,36.656429290771484,25.54168701171875,45.87439727783203,0.00018914196076863317
11,0.0018403255671728402,0.0011777301726397127,0.0006625953974435106,26.198715019226075,40.14906311035156,36.25287628173828,25.55691146850586,46.48311996459961,0.0001500006
12,0.0017693368950858711,0.0011700230417773128,0.0005993138445774093,25.856405544281007,38.85853958129883,33.66599655151367,14.603840827941895,47.612754821777344,0.00011085923923136684
13,0.00165150846587494,0.0009632839151890949,0.0006882245434098877,23.63832712173462,40.97366714477539,36.529178619384766,25.7005615234375,48.109832763671875,7.443005469319098e-05
14,0.001524906704435125,0.0009344412290374748,0.0005904654710320756,23.603095149993898,40.60451889038086,35.41817092895508,24.905725479125977,48.79369354248047,4.323729098144867e-05
15,0.0014538388961227611,0.0009120530623476953,0.0005417858315922786,22.812126541137694,38.856407165527344,33.422298431396484,18.81851577758789,47.670230865478516,1.9442351548649828e-05
16,0.001615910354303196,0.0009153282066108659,0.0007005821658822242,23.017800331115723,39.483821868896484,34.243316650390625,23.075183868408203,47.79403305053711,4.6940311190321654e-06
17,0.0015230599092319608,0.0008754400187171996,0.0006476198861491867,22.152343702316283,39.74235153198242,34.21059799194336,22.835037231445312,48.487518310546875,1.4267696867404698e-08
