epoch,train_loss,train_mae_um,val_loss,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr,seconds
1,0.08189385621808469,121.6707778930664,0.03270323398212592,114.70415496826172,137.47872924804688,118.83362579345703,82.99211120605469,0.0003,86.52157139778137
2,0.012034972198307514,70.11460151672364,0.008577969620625178,78.97998809814453,94.39230346679688,84.06520080566406,57.389007568359375,0.0003,52.3032283782959
3,0.00502501055598259,50.06091861724853,0.00451380002622803,46.73203659057617,44.05630874633789,27.549909591674805,51.52186965942383,0.0003,54.67790365219116
4,0.003311053436482325,42.20650386810303,0.004035749596854051,44.16093444824219,45.2357177734375,36.50921630859375,43.110923767089844,0.0003,57.3704137802124
5,0.0024733310332521797,36.78228359222412,0.005637749573215842,50.711280822753906,47.91216278076172,11.704513549804688,56.79987716674805,0.0003,55.7266047000885
6,0.002161127422004938,33.93756265640259,0.0036787797914197046,38.09504699707031,36.5196647644043,19.41490364074707,41.33550262451172,0.0003,52.79400086402893
7,0.0015642232378013433,30.470980739593507,0.0038674864328155914,40.265663146972656,39.52198028564453,30.17485237121582,41.86779022216797,0.0003,51.02979588508606
8,0.0012465077044907958,26.915816020965575,0.0033961230826874576,42.02281188964844,45.13859558105469,45.19695281982422,37.53580093383789,0.0003,53.660364866256714
9,0.0010475995251908899,24.563328742980957,0.003770369713505109,38.45747375488281,37.42924880981445,28.217906951904297,40.46134567260742,0.0003,52.85374212265015
10,0.00103729281690903,24.03168249130249,0.003667690226187309,41.952186584472656,45.617855072021484,47.595577239990234,36.56464385986328,0.0003,52.61067295074463
11,0.0011667214334011079,25.40236930847168,0.004747218592092395,42.68979263305664,40.10588836669922,28.594038009643555,47.06322479248047,0.0003,52.41298747062683
12,0.000914715719409287,22.53316020965576,0.0046380245716621474,41.916343688964844,39.5836067199707,30.78700065612793,45.773826599121094,0.0003,52.859692096710205
13,0.0007923273631604388,21.545630931854248,0.003762684582422177,46.53770065307617,50.542415618896484,57.51022720336914,40.37827682495117,0.0003,53.01759576797485
14,0.0006809573329519481,19.98244400024414,0.004116477783148487,38.596893310546875,36.8320426940918,28.84295654296875,41.591224670410156,0.0003,52.24426770210266
15,0.0006403981897165067,19.191550493240356,0.004383820430375635,40.04022979736328,38.0645866394043,24.27750015258789,43.66786575317383,0.0003,52.58673286437988
16,0.0006908912240760401,20.02179684638977,0.003894873224198818,40.855735778808594,42.499637603759766,40.29751205444336,38.61544418334961,0.0003,53.76321244239807
17,0.0006036191683961078,19.006189012527464,0.004218357691230874,39.61363983154297,38.153953552246094,31.63895034790039,42.084938049316406,0.0003,56.96978211402893
