epoch,train_loss,train_mae_um,val_loss,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr,seconds
1,0.0711542775388807,120.97320213317872,0.014849589988589287,93.26555633544922,112.65177917480469,68.15442657470703,67.90068817138672,0.0003,86.83262872695923
2,0.008143498259596527,58.821137237548825,0.005259530264884234,55.6504020690918,60.631927490234375,30.68582534790039,50.186119079589844,0.0003,53.49156451225281
3,0.002951143303653225,40.166664123535156,0.005385176079968612,54.80658721923828,58.019737243652344,38.51456832885742,51.292850494384766,0.0003,50.961878538131714
4,0.0022655643231701108,35.267313957214355,0.005803073644638061,51.85240936279297,45.602394104003906,11.50599479675293,62.78677749633789,0.0003,51.87664008140564
5,0.0018918515997938812,33.09264698028564,0.005681023341603577,53.76508331298828,50.89085388183594,22.45401954650879,59.51952362060547,0.0003,50.13601350784302
6,0.001489788555772975,29.56648015975952,0.004715974306066831,52.0823974609375,58.76424026489258,41.45224380493164,43.45230484008789,0.0003,45.1766893863678
7,0.001582403021166101,29.94875783920288,0.0044818759507810075,51.48439407348633,61.7191276550293,50.40085220336914,37.40049743652344,0.0003,45.5127592086792
8,0.0012454267241992056,26.73215732574463,0.005535410575879117,52.070858001708984,49.727745056152344,25.236236572265625,56.83647155761719,0.0003,50.929771900177
9,0.000868342762987595,22.548150539398193,0.006302932733669877,53.11408996582031,44.650550842285156,13.34874439239502,67.07472229003906,0.0003,53.66387104988098
10,0.0007916567148640752,20.922733783721924,0.0056824361222485706,51.71178436279297,48.16392517089844,27.051889419555664,58.01873016357422,0.0003,52.84206461906433
11,0.0008763413818087429,23.010250091552734,0.006315846424549818,54.17658996582031,46.29556655883789,20.530027389526367,66.98391723632812,0.0003,52.57546639442444
12,0.0006258717476157472,18.92482919692993,0.005324602741748095,51.486289978027344,47.920902252197266,31.089107513427734,57.574867248535156,0.0003,52.41698145866394
13,0.0005712175028747879,18.854796981811525,0.005671830025191108,50.567806243896484,44.06348419189453,24.710317611694336,61.029083251953125,0.0003,52.88846683502197
14,0.0005151024524820969,17.471747732162477,0.005589871456225713,50.32484436035156,43.73833465576172,23.815961837768555,60.93678665161133,0.0003,52.80517387390137
15,0.0005633210748783313,18.778882455825805,0.006255672788247466,52.31795883178711,44.32086944580078,17.997241973876953,65.32405853271484,0.0003,51.9930682182312
16,0.000596697251603473,18.699609994888306,0.004821400570993622,47.35918045043945,46.78641128540039,30.77939796447754,49.09436798095703,0.0003,52.57412838935852
17,0.00047719339636387303,16.391702270507814,0.006097860947872202,52.1240348815918,43.97947311401367,18.267807006835938,65.30752563476562,0.0003,53.47976493835449
