epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.14164000675082206,0.11354810763150454,0.02809190019033849,156.2530490875244,103.06944274902344,108.84009552001953,53.59718704223633,98.31146240234375,3.8977260408732e-05
2,0.11900698430836201,0.07887981235980987,0.04012717334553599,125.91117095947266,88.9163818359375,91.48824310302734,70.73210906982422,86.54449462890625,0.00010980108914658706
3,0.04669600035995245,0.03263754837680608,0.01405845198314637,98.33151626586914,78.14524841308594,80.32237243652344,50.55584716796875,76.93063354492188,0.00019793491856072426
4,0.010091248713433743,0.0070020320010371504,0.0030892166658304633,58.51681995391846,40.59595489501953,34.772254943847656,12.41419792175293,50.477928161621094,0.0002703563977216445
5,0.006017155491281301,0.004053770587779582,0.00196338496170938,45.726473808288574,55.77587890625,58.9820556640625,65.19459533691406,50.73197937011719,0.00029993034465004625
6,0.004120815242640674,0.002668960951268673,0.001451854279730469,38.573018074035645,50.897483825683594,48.07625961303711,45.53860092163086,55.14529037475586,0.00029530716888096783
7,0.003594894614070654,0.0024553558498155324,0.0011395387700758874,35.89380569458008,43.92174530029297,39.297630310058594,16.3336238861084,52.107147216796875,0.00028055884845135017
8,0.0025677156634628774,0.0016235565184615553,0.000944159142090939,30.60042533874512,40.59001922607422,36.55375289916992,19.26290512084961,47.555728912353516,0.00025676390901855137
9,0.002368766732979566,0.0015198290522675962,0.0008489376778015867,29.29424638748169,41.68121337890625,36.72017288208008,19.835630416870117,49.958778381347656,0.00022557114530680908
10,0.0019019418279640377,0.0012950577918672934,0.0006068840208172333,26.588744354248046,39.416282653808594,34.45743179321289,19.789396286010742,47.54652786254883,0.00018914196076863317
11,0.0017742692143656313,0.0010249643441056834,0.0007493048746255226,24.302980995178224,39.28957748413086,34.22455596923828,17.504995346069336,47.70690155029297,0.0001500006
12,0.0016405493137426675,0.0010659241845132783,0.0005746251437813044,23.735602188110352,38.360511779785156,32.5632209777832,13.351051330566406,47.99966049194336,0.00011085923923136684
13,0.0015209935896564274,0.00089657288917806,0.0006244206815608777,21.918908309936523,41.50462341308594,36.623226165771484,22.705368041992188,49.47398376464844,7.443005469319098e-05
14,0.001485928345937282,0.0009508362069027499,0.000535092136124149,22.639264869689942,41.00266647338867,35.623146057128906,22.732053756713867,49.626102447509766,4.323729098144867e-05
15,0.0014273318462073802,0.0008898352418327705,0.0005374965956434607,21.982303047180174,39.002681732177734,32.89358139038086,17.252696990966797,48.86077880859375,1.9442351548649828e-05
16,0.0014812940789852291,0.0008919684594729915,0.0005893256238778122,22.21648578643799,40.17864227294922,34.68382263183594,22.373188018798828,48.931182861328125,4.6940311190321654e-06
17,0.0013936142844613642,0.0008711829781532287,0.0005224313048529438,21.16213035583496,40.02513885498047,33.98543930053711,21.030006408691406,49.6081428527832,1.4267696867404698e-08
