epoch,train_loss,train_mae_um,val_loss,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr,seconds
1,0.07533298349007964,133.23696479797363,0.0241497736175855,84.12511444091797,88.61637115478516,43.00346755981445,80.25794982910156,0.0003,82.9935200214386
2,0.009548869635909795,63.3652925491333,0.008169821165502071,64.62112426757812,53.7003173828125,25.52101707458496,81.94013214111328,0.0003,49.97004055976868
3,0.004008763015735895,44.02171230316162,0.004363539330661297,43.621883392333984,40.45222854614258,28.89133071899414,48.841026306152344,0.0003,54.70050573348999
4,0.0026939251460134984,38.134689807891846,0.006278641894459725,55.771095275878906,52.94845962524414,18.417722702026367,61.79808807373047,0.0003,50.30539011955261
5,0.0020237315678969026,33.68630313873291,0.0049927059685190515,44.019386291503906,41.63593292236328,19.478986740112305,48.71019744873047,0.0003,46.66369986534119
6,0.0016489637084305287,30.753606128692628,0.005420439389223854,47.40617752075195,40.1753044128418,20.78719139099121,58.914974212646484,0.0003,51.35069274902344
7,0.001328042257227935,26.73843936920166,0.004819892511392633,43.38239669799805,39.878173828125,18.638092041015625,49.63383483886719,0.0003,52.08565902709961
8,0.0012859103415394201,26.69830503463745,0.004605727312155068,42.59828186035156,38.926937103271484,36.07808303833008,48.0435676574707,0.0003,50.12382698059082
9,0.001131824415642768,25.153784656524657,0.00485869159301122,42.92378234863281,40.72233581542969,23.855363845825195,47.05162811279297,0.0003,44.983397245407104
10,0.0010499416122911498,24.52134952545166,0.004148774525771538,41.03561019897461,37.4447135925293,36.86639404296875,46.23591613769531,0.0003,45.49173355102539
11,0.0007866645275498741,20.66400279998779,0.00514696920911471,43.87350845336914,36.750423431396484,21.06879997253418,55.0162467956543,0.0003,50.98298263549805
12,0.0008305271418066696,21.348815298080446,0.0061456384323537346,50.73092269897461,45.85717010498047,9.39576530456543,59.819419860839844,0.0003,53.66780090332031
13,0.0005917801056057215,18.233512353897094,0.0051501732350637515,43.93049621582031,37.98683547973633,25.143951416015625,53.21445846557617,0.0003,52.83972978591919
14,0.0005870970329851843,17.344933795928956,0.004953115737686554,43.5917854309082,40.30467987060547,17.211990356445312,49.63622283935547,0.0003,52.576699018478394
15,0.0005851869049365632,16.23939447402954,0.004745451573592921,41.2768669128418,36.7169189453125,30.934659957885742,48.167808532714844,0.0003,52.42015337944031
16,0.0005706104973796755,17.58016166687012,0.0047437828841308755,41.26673126220703,36.793636322021484,22.896257400512695,48.49454116821289,0.0003,52.87663173675537
17,0.00039999321597861126,15.220113611221313,0.004315013735710332,39.007781982421875,35.71171951293945,26.932315826416016,44.25054168701172,0.0003,53.03701043128967
