epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.06811946742236615,0.06719168573617935,0.0009277815001269118,118.27205505371094,0.4380511805415154,87.69518280029297,74.31742095947266,36.64786911010742,109.08988189697266
2,0.007233808212913573,0.007131339411716908,0.00010246881987256984,57.481289863586426,0.5303959742188453,70.02565002441406,61.15839385986328,17.065637588500977,85.29518127441406
3,0.0035473520227242263,0.003455356566701084,9.19954372960774e-05,40.814750289916994,0.49995617270469667,52.55097579956055,43.947444915771484,17.908559799194336,66.4135513305664
4,0.0021585246722679585,0.002079845743719488,7.867892559545452e-05,33.78732604980469,0.45237447917461393,43.71487808227539,39.626399993896484,31.47239875793457,50.06234359741211
5,0.0017008660652209073,0.0015801902627572417,0.00012067579970107545,30.81944408416748,0.43310206234455106,43.288150787353516,37.693870544433594,27.709360122680664,51.90668487548828
6,0.0013285717664984985,0.0012406147376168518,8.795702583483945e-05,26.580921363830566,0.43449108898639677,43.050071716308594,38.87411117553711,25.320417404174805,49.83074188232422
7,0.001200586315826513,0.001110344540211372,9.024177123819754e-05,25.32869954109192,0.4347236379981041,48.217498779296875,45.99491882324219,15.422950744628906,53.155723571777344
8,0.001124528667423874,0.0010762784571852536,4.825019838273357e-05,25.4315936088562,0.4370867386460304,54.208187103271484,54.02658462524414,8.877643585205078,57.038970947265625
9,0.0008263646232080646,0.0007288665743544698,9.749804600005519e-05,20.686225032806398,0.4323558911681175,43.1724739074707,38.46322250366211,22.517847061157227,50.85666275024414
10,0.0008924546782509424,0.0008195125075872057,7.294217302842299e-05,20.8690447807312,0.42490413039922714,44.63823699951172,43.04659652709961,17.729412078857422,48.369449615478516
11,0.0008916802056774031,0.0008192665547539946,7.241365035497438e-05,20.745713090896608,0.428129056096077,42.91753005981445,37.37831497192383,42.93750762939453,50.57221984863281
12,0.0006627603506785817,0.0006058897022739984,5.6870647432560874e-05,17.930063438415527,0.4234231933951378,42.21573257446289,37.370277404785156,42.21763229370117,48.91259765625
13,0.0006271919453865848,0.0005531925882678479,7.399935500984611e-05,17.903198575973512,0.42026708126068113,39.58669662475586,36.017311096191406,27.311750411987305,45.21856689453125
14,0.0006421997299185022,0.0005830616602906958,5.9138069028108474e-05,18.291657829284667,0.41561385095119474,43.243614196777344,43.23427200317383,11.809211730957031,45.045475006103516
15,0.0005388107951148413,0.0004531137485173531,8.569704489787e-05,16.158531284332277,0.4114922881126404,39.491458892822266,36.3607063293457,21.951114654541016,44.81673812866211
16,0.0005155479055247269,0.00045760099819744935,5.79469089984741e-05,16.408622169494627,0.41091314852237704,39.82701873779297,34.227474212646484,33.25661849975586,47.940155029296875
17,0.0006323040841380134,0.0005740440654335543,5.826002505031625e-05,18.8031418800354,0.4143042743206024,44.39997100830078,38.52305603027344,43.8538818359375,52.553619384765625
18,0.0006080510895117186,0.0005117505483212881,9.630054362332884e-05,16.81665349006653,0.40585650205612184,43.0061149597168,38.67715835571289,42.88616943359375,48.99605941772461
19,0.0004907605718472042,0.0004324949455622118,5.8265627910714104e-05,15.73167872428894,0.404584002494812,39.1263427734375,35.788700103759766,24.52956199645996,44.57005310058594
20,0.0006251896746107377,0.0005637911963276565,6.13984847291249e-05,17.945902872085572,0.40579703748226165,40.17274475097656,34.625511169433594,25.11623764038086,48.696529388427734
21,0.00038423225851147436,0.00032001203653635456,6.422022227550172e-05,13.19732756614685,0.3979640230536461,41.1949462890625,33.9611701965332,34.74346923828125,51.56001281738281
22,0.00035909423386328856,0.0003014231588167604,5.7671073892606725e-05,12.593782377243041,0.39686940163373946,39.7822380065918,33.87909698486328,31.195905685424805,48.429710388183594
23,0.0003735611513548065,0.0003202457875886466,5.331536032819884e-05,13.507330560684204,0.3975352466106415,40.792083740234375,34.58537292480469,35.79297637939453,49.654964447021484
24,0.0003401027737709228,0.0002735721027420368,6.653066907347238e-05,12.596553325653076,0.3975395306944847,39.3903694152832,32.91934585571289,26.155364990234375,49.087276458740234
25,0.0003482265725324396,0.0002917970618000254,5.642950943354208e-05,12.333790826797486,0.3985805153846741,38.66660690307617,33.799598693847656,22.900041580200195,46.29065704345703
26,0.0003045834666409064,0.00024449930569971914,6.008416048501886e-05,11.608565139770509,0.3978776603937149,39.39400100708008,33.075164794921875,28.723108291625977,48.73463821411133
27,0.0003614732864662074,0.0003068377045565285,5.4635580295325783e-05,13.4787606716156,0.3930780664086342,38.654930114746094,32.82853698730469,28.092878341674805,47.30876159667969
28,0.0002755750370852184,0.0002039055591012584,7.166947802090817e-05,10.810900163650512,0.39282376170158384,38.80329895019531,33.295196533203125,27.12173080444336,47.0809326171875
29,0.00032330207322956995,0.00025673182390164586,6.657025104459536e-05,12.378577089309692,0.39452331960201265,39.218807220458984,33.5877685546875,24.169710159301758,47.858001708984375
30,0.00033981882661464623,0.00029390753188636155,4.5911297820566685e-05,12.638742589950562,0.3923759937286377,39.5714111328125,33.36821746826172,28.323286056518555,48.78506851196289
31,0.0002977221753099002,0.00023315879952860995,6.456337585762084e-05,11.099338126182555,0.3942423701286316,39.595069885253906,35.54106903076172,21.566335678100586,46.22419738769531
32,0.00027964010005234743,0.00020897055946988985,7.066953744470084e-05,10.643452906608582,0.39295516461133956,39.63098907470703,34.22450637817383,29.8192195892334,47.66176986694336
33,0.0003642515017418191,0.00030705215540365315,5.719934617332001e-05,13.160526514053345,0.3927634865045547,40.11496353149414,36.275001525878906,21.041902542114258,46.507694244384766
34,0.000358475941902725,0.00030044988307054155,5.8026058670535007e-05,13.156418132781983,0.38686027824878694,38.60043716430664,34.00477981567383,21.522478103637695,45.924076080322266
