epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.06715363110415637,0.06715363110415637,0.0,118.47883834838868,0.4389488771557808,85.14820098876953,72.39498138427734,39.00208282470703,105.40081787109375
2,0.007036074786446989,0.007036074786446989,0.0,57.23882694244385,0.5298280447721482,69.77470397949219,62.23380661010742,19.17707633972168,83.07662963867188
3,0.003372115100501105,0.003372115100501105,0.0,39.90058364868164,0.49987696707248686,50.55925369262695,43.287574768066406,18.876691818237305,62.41261291503906
4,0.0020272252266295256,0.0020272252266295256,0.0,33.24528846740723,0.45216775089502337,43.379642486572266,39.617733001708984,31.460908889770508,49.25732421875
5,0.0016021946968976409,0.0016021946968976409,0.0,30.80032625198364,0.43339553475379944,42.932342529296875,37.79713821411133,25.528493881225586,51.020233154296875
6,0.0011858605546876788,0.0011858605546876788,0.0,25.92271432876587,0.4324788674712181,42.750144958496094,38.1153564453125,25.669109344482422,50.1280403137207
7,0.0011138809073599986,0.0011138809073599986,0.0,25.266572856903075,0.4321513056755066,47.78806686401367,46.219268798828125,14.116506576538086,51.872596740722656
8,0.0010800087737152352,0.0010800087737152352,0.0,25.545213985443116,0.4349258467555046,54.2390022277832,54.303733825683594,11.123109817504883,56.60329055786133
9,0.0007154180755605921,0.0007154180755605921,0.0,20.49268970489502,0.4312819346785545,41.46856689453125,36.880062103271484,27.74856948852539,48.591217041015625
10,0.0008532247360562905,0.0008532247360562905,0.0,21.391487884521485,0.4240607813000679,43.38493347167969,41.70914077758789,18.6217041015625,47.1103515625
11,0.0007942002019262872,0.0007942002019262872,0.0,20.6012300491333,0.4267643645405769,41.95243453979492,36.921321868896484,35.241973876953125,49.28791427612305
12,0.0005166181595996022,0.0005166181595996022,0.0,16.733310413360595,0.4217687800526619,40.685455322265625,35.90105056762695,34.45745849609375,47.65249252319336
13,0.00048788654094096274,0.00048788654094096274,0.0,16.78823790550232,0.4192252025008202,38.87873077392578,35.79526901245117,27.029348373413086,43.814781188964844
14,0.000496075067349011,0.000496075067349011,0.0,16.50473322868347,0.4154441475868225,41.33075714111328,41.8118896484375,12.550849914550781,42.303672790527344
15,0.0004237727502186317,0.0004237727502186317,0.0,15.62778172492981,0.412514865398407,38.7701301574707,36.177486419677734,21.159244537353516,43.35569763183594
16,0.000443779060151428,0.000443779060151428,0.0,16.254581642150878,0.41127508133649826,39.78788375854492,34.49380874633789,33.7025032043457,47.45121765136719
17,0.0005941752729995642,0.0005941752729995642,0.0,19.19577488899231,0.41329223066568377,43.282962799072266,37.844947814941406,41.121803283691406,50.92192077636719
