epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.08187716202810406,0.08187716202810406,0.0,121.64333038330078,0.45011983513832093,115.10161590576172,138.07327270507812,120.04856872558594,83.07063293457031
2,0.011989035294391215,0.011989035294391215,0.0,70.09123916625977,0.49367232620716095,79.187255859375,94.28045654296875,83.867919921875,58.060340881347656
3,0.0050130147603340445,0.0050130147603340445,0.0,50.038648986816405,0.44910626858472824,46.934261322021484,43.96524429321289,27.265005111694336,52.157169342041016
4,0.003311084769666195,0.003311084769666195,0.0,42.26341934204102,0.4266681343317032,44.37044143676758,45.1456184387207,35.82975387573242,43.785125732421875
5,0.0024677270266693085,0.0024677270266693085,0.0,36.79521541595459,0.4181829482316971,50.43336868286133,47.4663200378418,11.654945373535156,56.7410774230957
6,0.0021607013302855195,0.0021607013302855195,0.0,33.91068487167358,0.41311117112636564,38.1031494140625,36.38608169555664,19.06985855102539,41.559539794921875
7,0.001575481379404664,0.001575481379404664,0.0,30.576095962524413,0.4162036716938019,40.364078521728516,39.72969436645508,30.946542739868164,41.776832580566406
8,0.0012577214394696057,0.0012577214394696057,0.0,27.0317684173584,0.4207200512290001,42.19930648803711,45.39570999145508,45.428707122802734,37.59772872924805
9,0.0010422539955470711,0.0010422539955470711,0.0,24.504166984558104,0.4204342484474182,38.61833953857422,37.558326721191406,28.54958724975586,40.65642166137695
10,0.0010307729651685804,0.0010307729651685804,0.0,23.968630886077882,0.42619906514883044,42.13120651245117,45.803985595703125,47.81228256225586,36.7317008972168
11,0.0011618338292464613,0.0011618338292464613,0.0,25.282368087768553,0.42231338769197463,42.73211669921875,40.289878845214844,29.07308578491211,46.88490676879883
12,0.0009185036644339562,0.0009185036644339562,0.0,22.588282680511476,0.4262776166200638,42.001426696777344,39.55199432373047,30.27817726135254,46.053993225097656
13,0.0008004791307030246,0.0008004791307030246,0.0,21.64307975769043,0.42573656141757965,46.34688186645508,50.31773376464844,57.330848693847656,40.23360824584961
14,0.0006834343585069291,0.0006834343585069291,0.0,20.011390590667723,0.42715264558792115,38.56169128417969,36.798763275146484,28.75725746154785,41.55623245239258
15,0.0006448749292758294,0.0006448749292758294,0.0,19.257937049865724,0.42841958403587344,40.08625030517578,38.145328521728516,24.259199142456055,43.6695442199707
16,0.0006951251620193943,0.0006951251620193943,0.0,20.05247073173523,0.42259671092033385,40.855979919433594,42.41624069213867,39.9770393371582,38.74954605102539
17,0.0006012737954733893,0.0006012737954733893,0.0,18.988648843765258,0.42107783257961273,39.52692794799805,37.92416000366211,31.10099983215332,42.221656799316406
