epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.08181805708445608,0.08181805708445608,0.0,121.55791702270508,0.45012200325727464,114.01334381103516,136.3367919921875,115.75267028808594,83.0608139038086
2,0.012009760458022356,0.012009760458022356,0.0,70.10266132354737,0.49381623417139053,78.51610565185547,94.28144836425781,83.991943359375,56.414974212646484
3,0.005001993861515075,0.005001993861515075,0.0,50.05294914245606,0.4489596500992775,46.304874420166016,43.815826416015625,27.68171501159668,50.80487823486328
4,0.003304253809619695,0.003304253809619695,0.0,42.17891902923584,0.4271379679441452,43.7997932434082,44.77070236206055,35.7447624206543,42.91630172729492
5,0.0024629203078802677,0.0024629203078802677,0.0,36.752128791809085,0.41868985295295713,49.65149688720703,46.8050537109375,11.529571533203125,55.75514602661133
6,0.00215585203259252,0.00215585203259252,0.0,33.895746898651126,0.41366989761590955,37.88932800292969,36.31953430175781,19.42201805114746,41.10993576049805
7,0.001552051171893254,0.001552051171893254,0.0,30.428767967224122,0.4165419891476631,40.02275848388672,39.12894058227539,29.119325637817383,41.87863540649414
8,0.0012431907118298114,0.0012431907118298114,0.0,26.882201671600342,0.4212232917547226,41.97869873046875,45.08815002441406,44.91012954711914,37.514251708984375
9,0.0010376964113675059,0.0010376964113675059,0.0,24.45310697555542,0.4208318665623665,38.37234878540039,37.32173156738281,27.91623878479004,40.41947555541992
10,0.0010237399692414328,0.0010237399692414328,0.0,23.952183055877686,0.4266257584095001,41.94906997680664,45.66254425048828,47.90430450439453,36.47771072387695
11,0.0011709916580002755,0.0011709916580002755,0.0,25.451463413238525,0.4226512715220451,42.46379470825195,40.17586898803711,28.792613983154297,46.40400314331055
12,0.0009215106547344476,0.0009215106547344476,0.0,22.626058435440065,0.42667871415615083,41.91471862792969,39.529754638671875,29.9505615234375,45.89189529418945
13,0.0007775448684697039,0.0007775448684697039,0.0,21.29173402786255,0.42611498534679415,45.71282958984375,49.63825988769531,56.186885833740234,39.691349029541016
14,0.0006761376644135453,0.0006761376644135453,0.0,19.898516798019408,0.4272946551442146,38.46076965332031,36.83623504638672,28.996906280517578,41.24464797973633
15,0.0006466748964157887,0.0006466748964157887,0.0,19.23011169433594,0.42868991047143934,39.77552032470703,38.01929473876953,24.048845291137695,43.09784698486328
16,0.0006961163278901949,0.0006961163278901949,0.0,20.06040139198303,0.42292281836271284,40.3640251159668,41.68704605102539,38.96380615234375,38.615142822265625
17,0.0005921203759498894,0.0005921203759498894,0.0,18.759128618240357,0.4214860737323761,39.28044128417969,37.406673431396484,29.851612091064453,42.406803131103516
