epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.1727764096111059,0.17020657733082772,0.0025698328245198354,119.11053810119628,171.25238037109375,197.83070373535156,62.82816696166992,141.57017517089844,1.8842743335836982e-05
2,0.08096709121018648,0.0790662782266736,0.0019008133094757795,142.28942642211913,127.2701644897461,145.04515075683594,112.36993408203125,103.67227935791016,3.87206520050126e-05
3,0.07325986549258232,0.07127234563231469,0.0019875196390785276,128.7406784057617,91.7646255493164,90.46046447753906,65.97895050048828,95.24423217773438,6.974456729813273e-05
4,0.026850375114008784,0.025763017311692237,0.0010873577673919498,95.8275203704834,81.77979278564453,86.2184829711914,44.864776611328125,78.04597473144531,0.00010896603519264784
5,0.007976137392688543,0.007249292451888323,0.0007268449160619638,61.100694847106936,48.74119186401367,47.6978759765625,28.342687606811523,51.50991439819336,0.00015265752182665597
6,0.004562712309416383,0.0038904901419300588,0.0006722221747622825,44.984887313842776,45.85061264038086,43.20972442626953,27.131420135498047,50.71813201904297,0.00019666667124185622
7,0.0036444608878809957,0.0029204884252976627,0.0007239724654937163,39.80822257995605,49.72037887573242,46.472801208496094,30.97320556640625,55.4282341003418,0.00023681093741218304
8,0.00311197554692626,0.0024682541319634766,0.0006437214047764428,37.118951416015626,43.62656021118164,39.040924072265625,21.397159576416016,51.410247802734375,0.00026927508547917715
9,0.0029129441594704986,0.0022110463061835615,0.0007018978270934894,35.542578506469724,42.70212173461914,37.20759582519531,14.94229507446289,52.1016960144043,0.0002909737844311852
10,0.0023500451527070252,0.0017192735278513283,0.0006307716510491445,31.35049057006836,41.61199188232422,36.481964111328125,24.644447326660156,49.805850982666016,0.00029984483110639883
11,0.0023072871612384916,0.001643993888865225,0.0006632932796492242,31.31378526687622,59.35142517089844,59.57905578613281,18.781139373779297,61.67552947998047,0.00029905683525666046
12,0.0022675050888210533,0.0016000135336071252,0.0006674915697658434,29.874114799499512,43.02840805053711,37.972190856933594,20.68868064880371,51.469669342041016,0.0002955496974465161
13,0.0021348249108996244,0.0014815708069363608,0.0006532540908665396,28.173404502868653,50.16913604736328,46.017852783203125,45.03856658935547,56.24038314819336,0.0002895102041916667
14,0.002144163282355294,0.001490162668051198,0.0006540006288560107,28.841476726531983,40.891170501708984,35.4310417175293,16.088911056518555,50.050846099853516,0.000281043434423521
15,0.0017563489207532256,0.0010923477879259736,0.0006640011444687844,25.229645442962646,43.51457214355469,37.78173828125,34.82866287231445,52.00294876098633,0.0002702966983686457
16,0.0017738490889314563,0.001122349826619029,0.0006514992608572356,25.522167205810547,42.11457061767578,36.45863723754883,25.15484619140625,51.0347785949707,0.0002574569745520802
17,0.0014808759558945894,0.0008297571446746587,0.0006511188083095476,21.635099601745605,41.65474319458008,37.14527130126953,29.247962951660156,48.69429016113281,0.00024274765662645324
18,0.0013477703090757132,0.0007114706430002115,0.0006362996791722253,19.591522693634033,39.73223876953125,34.878177642822266,13.596186637878418,48.1410026550293,0.00022642466662762997
19,0.001358045096276328,0.0007051595952361822,0.0006528854981297627,20.10131182670593,40.820213317871094,35.9143180847168,22.56208038330078,48.78824234008789,0.00020877200228093182
20,0.0012387922237394378,0.0005794376833364367,0.0006593545534997247,18.550333166122435,38.914859771728516,34.77179718017578,18.39339828491211,45.975772857666016,0.00019009679582871665
21,0.0011788842239184305,0.0005582559315371327,0.0006206282880157233,18.30655469894409,38.993106842041016,34.83420181274414,16.372642517089844,46.212432861328125,0.00017072397034896937
22,0.0011671928456053137,0.0005147522446350194,0.0006524406067910604,17.062732553482057,39.2503776550293,34.43091583251953,22.205745697021484,47.0200080871582,0.00015099058653765884
23,0.0011545297573320567,0.0005187327711610124,0.0006357969774398953,17.527676916122438,38.99414825439453,33.603759765625,18.750198364257812,47.76095962524414,0.0001312399783131242
24,0.0010721082508098334,0.00042232871928717943,0.0006497795446193777,16.223358869552612,38.78573226928711,33.97624588012695,19.504108428955078,46.68708419799805,0.00011181577927496228
25,0.00109365870594047,0.00045840234670322386,0.0006352563650580123,16.428069067001342,39.077144622802734,34.103206634521484,20.224742889404297,47.1778678894043,9.305594394887125e-05
26,0.0009991106780944392,0.0003569031512597576,0.0006422075282898731,14.769386625289917,41.27499008178711,36.43217468261719,29.582019805908203,48.728843688964844,7.528686783962061e-05
27,0.0010511306958505885,0.00040315109290531834,0.000647979584755376,14.993323421478271,39.780513763427734,34.9632682800293,25.84895133972168,47.344600677490234,5.8817708595193456e-05
28,0.0009800677420571447,0.0003445276786806062,0.0006355400735628791,14.351948261260986,39.41789627075195,34.56986618041992,24.102909088134766,47.11452865600586,4.393500708608659e-05
29,0.0010338347696233542,0.0003902153708622791,0.0006436194104026072,15.194069862365723,39.289310455322266,34.31573486328125,24.364910125732422,47.134056091308594,3.089770198563912e-05
30,0.000984693443751894,0.0003218656362150796,0.0006628278002608568,13.883331632614135,39.23361587524414,34.28205108642578,24.38811492919922,47.04280090332031,1.9932624590881367e-05
31,0.0009741825691889971,0.0003347979196405504,0.0006393846415448934,14.42087755203247,39.874507904052734,35.030704498291016,26.301006317138672,47.4520263671875,1.1230552267866371e-05
32,0.0009730179532198236,0.0003472448519460158,0.0006257731030927971,14.49085693359375,39.2630500793457,34.40230941772461,23.862977981567383,46.98277282714844,4.942889186142457e-06
33,0.0009770219767233357,0.00032065674313344064,0.0006563652365002781,13.32334370613098,39.16849899291992,34.29401779174805,22.89443588256836,46.96406555175781,1.1790320930533884e-06
34,0.000994439676287584,0.0003308016101073008,0.0006636380756390281,13.714650297164917,39.13093566894531,34.120872497558594,22.030933380126953,47.167606353759766,4.466959793746016e-09
