epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.3012796562165022,0.3012796562165022,0.0,107.37971115112305,200.66050720214844,209.65078735351562,266.1827697753906,183.97332763671875,1.8842743335836982e-05
2,0.09906717985868455,0.09906717985868455,0.0,155.4896327972412,142.03729248046875,136.18145751953125,126.38341522216797,151.14886474609375,3.87206520050126e-05
3,0.06677583139389753,0.06677583139389753,0.0,121.20544204711913,116.54176330566406,110.60721588134766,92.18832397460938,126.32795715332031,6.974456729813273e-05
4,0.02473789672367275,0.02473789672367275,0.0,92.67788925170899,102.2154769897461,114.54249572753906,92.18460083007812,85.83053588867188,0.00010896603519264784
5,0.007483084627892822,0.007483084627892822,0.0,60.08911838531494,55.95309066772461,45.887264251708984,21.008684158325195,72.13800811767578,0.00015265752182665597
6,0.004224447091110051,0.004224447091110051,0.0,46.19682846069336,54.46228790283203,48.62550735473633,32.26852798461914,63.97288131713867,0.00019666667124185622
7,0.00315955996629782,0.00315955996629782,0.0,40.493393898010254,51.689334869384766,45.28273391723633,34.402137756347656,61.668357849121094,0.00023681093741218304
8,0.002553673449438065,0.002553673449438065,0.0,37.29865016937256,52.76176452636719,45.435726165771484,26.374351501464844,64.60343170166016,0.00026927508547917715
9,0.002264382259454578,0.002264382259454578,0.0,35.98327226638794,49.21798324584961,41.69773483276367,23.928560256958008,61.25667190551758,0.0002909737844311852
10,0.002007721964037046,0.002007721964037046,0.0,33.11774263381958,54.28045654296875,45.94227981567383,29.5673885345459,67.4121322631836,0.00029984483110639883
11,0.0017108033876866101,0.0017108033876866101,0.0,30.568234634399413,49.479515075683594,40.395442962646484,22.61286163330078,63.78216552734375,0.00029905683525666046
12,0.0016589767881669104,0.0016589767881669104,0.0,30.60737180709839,46.65069580078125,36.58939743041992,18.896484375,62.361698150634766,0.0002955496974465161
13,0.0018040087161352858,0.0018040087161352858,0.0,32.26926431655884,58.407073974609375,54.87030792236328,56.816959381103516,63.398712158203125,0.0002895102041916667
14,0.0011832260759547352,0.0011832260759547352,0.0,25.859290599822998,47.134498596191406,37.163482666015625,19.299968719482422,62.7259635925293,0.000281043434423521
15,0.0010569862017291598,0.0010569862017291598,0.0,24.579335165023803,49.71800231933594,38.34431457519531,7.704555988311768,68.17030334472656,0.0002702966983686457
16,0.0008166658924892544,0.0008166658924892544,0.0,21.907398176193237,48.485252380371094,41.86636734008789,29.49651336669922,58.86833953857422,0.0002574569745520802
17,0.000738551068934612,0.000738551068934612,0.0,20.914425754547118,46.1869010925293,35.194923400878906,16.625940322875977,63.30173110961914,0.00024274765662645324
18,0.0006546663586050272,0.0006546663586050272,0.0,19.2341805934906,45.783424377441406,35.330596923828125,17.116945266723633,62.094905853271484,0.00022642466662762997
19,0.000664202676853165,0.000664202676853165,0.0,19.083962869644164,44.986854553222656,35.78921890258789,22.707870483398438,59.14807891845703,0.00020877200228093182
20,0.0005148026626557112,0.0005148026626557112,0.0,17.300944757461547,47.91118240356445,40.459815979003906,30.3414363861084,59.35256576538086,0.00019009679582871665
21,0.0005859284472535364,0.0005859284472535364,0.0,18.987995004653932,44.75009536743164,35.1395149230957,19.953445434570312,59.645809173583984,0.00017072397034896937
22,0.0005205565379583277,0.0005205565379583277,0.0,16.945633459091187,45.30435562133789,34.987586975097656,16.60434913635254,61.42997360229492,0.00015099058653765884
23,0.0004914919249131344,0.0004914919249131344,0.0,16.65518159866333,44.29075241088867,34.446876525878906,16.76449966430664,59.686439514160156,0.0001312399783131242
24,0.0005254452102235518,0.0005254452102235518,0.0,17.110110807418824,44.756988525390625,36.05378723144531,23.726715087890625,58.153629302978516,0.00011181577927496228
25,0.000401636901369784,0.000401636901369784,0.0,14.810590028762817,45.17240524291992,36.24942398071289,23.784191131591797,58.896095275878906,9.305594394887125e-05
26,0.0004612632212229073,0.0004612632212229073,0.0,16.24558711051941,45.2186279296875,36.730224609375,26.314193725585938,58.18011474609375,7.528686783962061e-05
27,0.00039439563115593044,0.00039439563115593044,0.0,14.85090093612671,45.19623947143555,36.232879638671875,25.307636260986328,58.87818908691406,5.8817708595193456e-05
28,0.0003778312762733549,0.0003778312762733549,0.0,14.928330564498902,45.226863861083984,37.1792106628418,27.797359466552734,57.48326110839844,4.393500708608659e-05
29,0.00036967456617276184,0.00036967456617276184,0.0,15.123758935928345,44.531192779541016,35.15327072143555,20.254758834838867,59.071495056152344,3.089770198563912e-05
30,0.0003667895594844595,0.0003667895594844595,0.0,14.300720930099487,45.49726867675781,37.63767623901367,28.495006561279297,57.46595764160156,1.9932624590881367e-05
31,0.0003617889946326613,0.0003617889946326613,0.0,14.521430587768554,44.6639518737793,35.527408599853516,22.94550323486328,58.70428466796875,1.1230552267866371e-05
32,0.0003509186222800054,0.0003509186222800054,0.0,14.203822135925293,44.70204544067383,35.92262649536133,24.4455509185791,58.1536979675293,4.942889186142457e-06
33,0.00036294878882472406,0.00036294878882472406,0.0,14.305899524688721,44.68042755126953,35.63200378417969,23.35918617248535,58.57312774658203,1.1790320930533884e-06
34,0.00033974808466155084,0.00033974808466155084,0.0,14.047373390197754,44.7208137512207,35.80862045288086,24.419857025146484,58.35886001586914,4.466959793746016e-09
