epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.07324157259427011,0.06740173057187349,0.005839842365821824,114.86473922729492,0.4373366981744766,99.76409149169922,86.43012237548828,41.60609817504883,121.5029525756836
2,0.007857968099415302,0.0068519544904120265,0.0010060135871754027,54.74904365539551,0.5335257321596145,79.12908935546875,68.83695220947266,24.590890884399414,96.45779418945312
3,0.004245519341202453,0.003611160273430869,0.0006343590492178918,41.53656587600708,0.4981204390525818,69.6210708618164,61.024871826171875,15.525860786437988,84.58058166503906
4,0.002963765186723322,0.0024924198805820197,0.00047134528413153023,36.16340961456299,0.4485523447394371,45.551151275634766,39.79133224487305,21.59353256225586,54.87531661987305
5,0.0022208606940694155,0.0016496434254804626,0.0005712172664061654,30.84257917404175,0.4293264582753181,43.629638671875,35.55443572998047,22.256744384765625,56.006832122802734
6,0.0018215410236734897,0.0014211763424100353,0.00040036468690232143,28.445677471160888,0.43344193547964094,50.2175178527832,47.46952438354492,10.449556350708008,56.278778076171875
7,0.0016222778591327368,0.001271624199580401,0.0003506536584609421,25.45499038696289,0.4336025774478912,52.24565887451172,48.62397766113281,10.013055801391602,59.65471267700195
8,0.0014287738158600405,0.0011249285278609022,0.0003038452939108538,25.166390705108643,0.43207947909832,52.142364501953125,48.57349395751953,9.951583862304688,59.47605895996094
9,0.0011050805129343643,0.0007843639337806963,0.0003207165842241011,20.58176145553589,0.4273704200983047,46.37538146972656,39.43566131591797,16.416738510131836,57.67181396484375
10,0.0011454592764494008,0.0008701186976395548,0.0002753405833573197,20.543976545333862,0.4212079122662544,42.826393127441406,38.452510833740234,21.920597076416016,50.06135559082031
11,0.0010493281472008676,0.0007860840109060518,0.0002632441225841831,19.977972507476807,0.4258233517408371,44.44831848144531,36.7226676940918,39.46720504760742,55.40951919555664
12,0.000907613908930216,0.0006620262967771851,0.00024558761360822247,18.235192012786865,0.4202329024672508,42.427520751953125,35.483951568603516,28.6406192779541,52.8089485168457
13,0.0008671534073073417,0.0005739459971664474,0.00029320740286493675,17.451010704040527,0.41936379820108416,43.53049850463867,37.84043884277344,13.66102123260498,53.09469985961914
14,0.0009629083011532203,0.0006993731905822643,0.00026353510838816874,20.096792697906494,0.41562804728746416,41.07894515991211,36.232818603515625,18.214338302612305,49.07808303833008
15,0.0008885448711225763,0.0005866337764018681,0.00030191110154191846,18.055648708343504,0.4107645288109779,41.92965316772461,35.399932861328125,17.18239402770996,52.362850189208984
16,0.0008421885955613107,0.0006118123041233048,0.0002303762874362292,18.132724809646607,0.4093736007809639,43.73942184448242,34.3841438293457,32.34822082519531,57.31776809692383
17,0.0009582643499015831,0.0006999283177719917,0.0002583360303162863,19.96431260108948,0.4126454830169678,49.01765441894531,40.238800048828125,42.000545501708984,61.55038070678711
