epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.08207208993844688,0.0816917285323143,0.0003803612338742823,121.15061416625977,0.450287064909935,112.39598846435547,133.52113342285156,107.76155090332031,83.46235656738281
2,0.012130694836378098,0.012001661024987698,0.0001290339343540836,69.98464088439941,0.4936913937330246,78.20765686035156,93.51251983642578,82.43799591064453,56.813846588134766
3,0.005088215775322169,0.0049666597158648075,0.00012155603681094363,49.71753826141357,0.44863461405038835,45.663490295410156,42.92498016357422,26.60225486755371,50.533203125
4,0.0034075064642820506,0.0032906105858273803,0.00011689589118759613,42.07120914459229,0.42734639495611193,42.520652770996094,43.039344787597656,33.359466552734375,42.32513427734375
5,0.002517504821298644,0.0024208506976719944,9.66541147136013e-05,36.38071975708008,0.41926388889551164,49.53800964355469,47.157508850097656,11.947209358215332,54.96745681762695
6,0.0021789812715724112,0.0020849216729402543,9.405959704054113e-05,33.432166290283206,0.41531490087509154,38.020259857177734,35.98418426513672,17.435306549072266,42.00585174560547
7,0.0016141053871251642,0.0015420827665366232,7.202261467682547e-05,30.40877447128296,0.41698462665081026,39.855567932128906,39.093082427978516,29.898529052734375,41.476078033447266
8,0.0013195970270317048,0.0012526135193184017,6.698350630358618e-05,27.00726737976074,0.4219532608985901,41.37102127075195,44.0665283203125,42.788063049316406,37.56487274169922
9,0.0010947975562885404,0.0010262844385579228,6.851312989510915e-05,24.441792297363282,0.42045770585536957,38.353431701660156,37.53045654296875,29.22463607788086,40.010379791259766
10,0.0010649013944203033,0.0009935313399182632,7.137005186450552e-05,23.71416301727295,0.4267303556203842,41.77900314331055,45.08837127685547,46.3326416015625,36.9459342956543
11,0.0012659157073358074,0.0011943154968321323,7.160019852108235e-05,25.720329666137694,0.4228568494319916,42.24675750732422,39.61387634277344,26.62353515625,46.77482604980469
12,0.001000859464693349,0.0009476364721194841,5.3222987207846015e-05,22.674725151062013,0.42637898325920104,42.02645492553711,38.73904037475586,26.14436149597168,47.47389602661133
13,0.0008397782774409279,0.0007753223093459382,6.445596982302959e-05,21.334499835968018,0.4256351202726364,43.37001037597656,46.455562591552734,51.609458923339844,38.63651657104492
14,0.000742588730645366,0.0006794260247261263,6.316271028481424e-05,19.897258710861205,0.42662143558263776,38.04854202270508,36.318359375,28.029508590698242,41.01004409790039
15,0.0007331981541938148,0.0006707580119837076,6.24401408003905e-05,19.5785804271698,0.427806493639946,39.296688079833984,37.08066177368164,20.77860450744629,43.41337203979492
16,0.0007955636538099498,0.0007332794950343669,6.228416687008576e-05,20.410363721847535,0.4220320492982864,39.36383819580078,39.788875579833984,35.004825592041016,39.02445983886719
17,0.0006567625518073328,0.0005881231496459805,6.863940425319015e-05,18.802057409286498,0.4204296082258224,38.79103469848633,36.125179290771484,25.853878021240234,43.21181106567383
