epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.2788008011877537,0.278690230473876,0.00011056967042577526,109.60088310241699,240.4704132080078,254.0179443359375,336.04949951171875,215.52964782714844,3.8977260408732e-05
2,0.09817639999091625,0.09641060158610344,0.0017657980090007186,158.1772663116455,115.46156311035156,106.53299713134766,77.74968719482422,130.25465393066406,0.00010980108914658706
3,0.03490277845412493,0.034309953916817904,0.0005928244296228513,91.73660926818847,87.21885681152344,104.75528717041016,102.39400482177734,61.9945182800293,0.00019793491856072426
4,0.0052305677672848105,0.005105641577392817,0.00012492617534007878,50.7772159576416,60.362003326416016,53.159454345703125,31.231016159057617,72.2114486694336,0.0002703563977216445
5,0.0031523551908321677,0.0030426936806179582,0.00010966148784063989,41.19848346710205,55.63658905029297,44.46017074584961,18.31866455078125,73.51084899902344,0.00029993034465004625
6,0.0031894819578155873,0.003088105452479795,0.00010137652013781917,39.72889862060547,66.35236358642578,71.37471008300781,59.75065612792969,59.84029006958008,0.00029530716888096783
7,0.0023544743482489137,0.0022612546221353115,9.3219708264769e-05,34.838670921325686,53.357303619384766,51.73504638671875,40.70552444458008,56.42233657836914,0.00028055884845135017
8,0.0023036039376165716,0.0022205245739314707,8.307935609082051e-05,35.18706874847412,52.585880279541016,51.04796600341797,37.062435150146484,55.72109603881836,0.00025676390901855137
9,0.0015771947393659503,0.0015010021365014837,7.619259508828691e-05,29.249237632751466,48.994041442871094,39.35053253173828,17.477895736694336,64.37230682373047,0.00022557114530680908
10,0.0014862354786600918,0.0013940847187768669,9.215075933752815e-05,27.917543983459474,52.8894157409668,42.20238494873047,18.393503189086914,69.90373229980469,0.00018914196076863317
11,0.001177407217619475,0.0011000995960785075,7.730762217761367e-05,25.47280282974243,49.35999298095703,38.72706985473633,14.709373474121094,66.3095932006836,0.0001500006
12,0.0010203603276750072,0.0009570825699483976,6.327776886791981e-05,23.67947587966919,48.88479232788086,37.8028678894043,12.072686195373535,66.5955581665039,0.00011085923923136684
13,0.0010098054452100768,0.0009476655061007478,6.213993979145016e-05,23.574810409545897,46.72607421875,37.348548889160156,14.435056686401367,61.78711700439453,7.443005469319098e-05
14,0.0008591528167016804,0.0007822839936125093,7.68688207017476e-05,21.263755893707277,46.40414810180664,38.76976776123047,19.921236038208008,58.678192138671875,4.323729098144867e-05
15,0.0007822177314665169,0.0007216442245407961,6.0573497376026356e-05,21.093481826782227,46.945404052734375,39.60697937011719,20.55872344970703,58.80414581298828,1.9442351548649828e-05
16,0.0008304947521537542,0.0007733482445473783,5.714650797017384e-05,21.380270767211915,47.21184158325195,38.942291259765625,18.605783462524414,60.50186538696289,4.6940311190321654e-06
17,0.0007407226570649072,0.0006747606719727627,6.59619846373971e-05,19.988541698455812,47.08720779418945,40.32615661621094,21.696931838989258,58.08314514160156,1.4267696867404698e-08
