epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,train_gate_mean,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um
1,0.0930357032455504,0.07789462669752538,0.015141076222062112,120.01019744873047,0.4506847009062767,103.7118148803711,121.544189453125,83.8364028930664,80.19659423828125
2,0.015915350010618567,0.010802362859249116,0.005112987180473283,68.73611335754394,0.4922531723976135,65.06472778320312,78.15132904052734,69.30016326904297,46.73651123046875
3,0.007160626538097859,0.0049447612138465045,0.002215865353355184,50.18854598999023,0.43104708641767503,45.80573654174805,44.155513763427734,34.71466064453125,48.71772766113281
4,0.004717679810710251,0.003327703848481178,0.001389975962229073,42.21395645141602,0.4199313476681709,43.79166793823242,38.360450744628906,17.469650268554688,52.79621887207031
5,0.0036476426175795496,0.002512884041061625,0.001134758529951796,37.34305391311646,0.40462643653154373,68.91041564941406,63.087642669677734,19.17085838317871,79.7888412475586
6,0.0032072311849333348,0.002148064109496772,0.0010591670768917538,34.45855474472046,0.4069986596703529,44.46440887451172,38.820865631103516,10.619781494140625,54.19053649902344
7,0.0024400669964961706,0.0016529925691429526,0.0007870743924286216,31.6634033203125,0.4059032991528511,42.267486572265625,41.97248077392578,38.20836639404297,42.906227111816406
8,0.002169657009653747,0.0014730022405274213,0.0006966547778574749,28.443465614318846,0.4097382739186287,45.11888885498047,50.278873443603516,50.49777603149414,37.68109893798828
9,0.0017523696238640695,0.0011524207278853283,0.0005999488697852939,25.62442226409912,0.40400746613740923,41.143672943115234,42.151580810546875,38.89841079711914,39.87839889526367
10,0.0015636556665413082,0.0010191515320912004,0.0005445041162602138,23.85442476272583,0.4106719449162483,42.55831527709961,44.72774887084961,40.27655792236328,39.689754486083984
11,0.0015961640106979757,0.0010665208013961093,0.0005296432078466751,24.328627109527588,0.4150934025645256,45.29167556762695,40.5799560546875,10.725003242492676,53.77101516723633
12,0.0013347599509870634,0.0009130178077612072,0.0004217421432258561,21.437821769714354,0.41127239018678663,40.41611099243164,38.95680236816406,30.618709564208984,42.9906120300293
13,0.001287585962563753,0.000869451959442813,0.00041813399875536563,21.833154821395873,0.4136142641305923,40.95027160644531,41.94215774536133,42.7276611328125,39.47822189331055
14,0.0012136271776398643,0.0007694586252910085,0.00044416854507289827,20.634047412872313,0.4131312444806099,40.158424377441406,35.49464797973633,19.389650344848633,47.78626251220703
15,0.0011580891456105745,0.0007684729862376116,0.00038961615828156935,19.908974742889406,0.41275272369384763,43.7071418762207,37.883853912353516,11.330423355102539,53.5981559753418
16,0.0011137053210404702,0.0007164199239923618,0.00039728539632051253,19.534133195877075,0.410761396586895,39.35383605957031,37.854576110839844,31.975177764892578,41.845909118652344
17,0.0010745025632786565,0.0006873566846479662,0.0003871458888170309,18.96812014579773,0.41283632069826126,38.89139175415039,34.29592514038086,27.36369514465332,45.89889144897461
