epoch,train_loss,train_data_loss,train_phys_loss,train_mae_um,val_mae_overall_um,val_mae_flank_wear_um,val_mae_adhesion_um,val_mae_flank_wear+adhesion_um,lr
1,0.2818890616297722,0.27872849330306054,0.0031605702970409766,109.72408180236816,240.7471466064453,254.52371215820312,336.5195007324219,215.47727966308594,3.8977260408732e-05
2,0.09901832696050406,0.09654912948608399,0.002469196415040642,158.7205467224121,115.53656768798828,106.67233276367188,79.1589126586914,130.1539764404297,0.00010980108914658706
3,0.03554830513894558,0.03411385230720043,0.0014344531344249844,92.09620532989501,88.08889770507812,106.48391723632812,104.60699462890625,61.5905647277832,0.00019793491856072426
4,0.005324251111596822,0.005093309259973466,0.00023094184434739872,50.88947219848633,60.22132110595703,53.30302047729492,31.32424545288086,71.66267395019531,0.0002703563977216445
5,0.003221834177384153,0.0030522470478899777,0.00016958715132204817,41.34474411010742,55.21996307373047,44.972293853759766,19.527252197265625,71.70487213134766,0.00029993034465004625
6,0.0032268733368255196,0.0030582065461203455,0.00016866676669451407,39.55681219100952,66.8953628540039,72.25308990478516,60.95924758911133,59.876461029052734,0.00029530716888096783
7,0.002380214602453634,0.002251560881268233,0.00012865371299994877,34.90625228881836,53.06058120727539,51.422306060791016,40.19194793701172,56.16184997558594,0.00028055884845135017
8,0.002315366262337193,0.00218373675015755,0.00013162954728613842,34.986059761047365,52.83735275268555,51.91334915161133,38.54602813720703,55.043941497802734,0.00025676390901855137
9,0.0015845107613131405,0.0014732763869687916,0.00011123435651825276,29.002454471588134,48.776710510253906,39.137062072753906,17.181495666503906,64.15477752685547,0.00022557114530680908
10,0.0014736426062881946,0.0013455874985083937,0.00012805511341866803,27.580292224884033,52.620235443115234,42.91652297973633,19.78218650817871,68.16768646240234,0.00018914196076863317
11,0.001166458343504928,0.0010688735361327416,9.758480100572343e-05,25.146707439422606,49.18043518066406,38.1832389831543,14.282711029052734,66.64958190917969,0.0001500006
12,0.0010191000008489936,0.0009349601168651134,8.41398808915983e-05,23.366895294189455,48.63957977294922,38.032142639160156,12.618742942810059,65.64308166503906,0.00011085923923136684
13,0.0010136871977010741,0.0009324605052825063,8.122670369630214e-05,23.47053289413452,46.40875244140625,37.667667388916016,15.941204071044922,60.471561431884766,7.443005469319098e-05
14,0.0008714615658391267,0.0007769910254864954,9.44705396250356e-05,21.181426334381104,46.20304870605469,39.00126266479492,20.67057228088379,57.81739044189453,4.323729098144867e-05
15,0.0007900584023445845,0.0007163417642004788,7.371664360107388e-05,21.07499828338623,46.65803909301758,39.381683349609375,20.408870697021484,58.42205047607422,1.9442351548649828e-05
16,0.0008359053666936233,0.0007609177337144502,7.498763097828487e-05,21.19015073776245,46.95365524291992,38.951934814453125,18.961576461791992,59.83357238769531,4.6940311190321654e-06
17,0.0007491722950362601,0.0006690661539323628,8.010614164959407e-05,19.924838876724245,46.8544807434082,40.428916931152344,22.201515197753906,57.33877944946289,1.4267696867404698e-08
